;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Установлен режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Снят режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Снят режим "Имитация логического "0"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Снят режим "Имитация логической "1"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал недостоверен; Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал достоверен; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Обрыв. Сигнал снят; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал установлен; Красный param_alarm.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал снят; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал достоверен; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал достоверен режим Имитации; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" по месту №2. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Установлен режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Снят режим "Маскирование"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Снят режим "Имитация логического "0"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Снят режим "Имитация логической "1"; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал недостоверен; Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал достоверен; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Обрыв. Сигнал снят; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал установлен; Красный param_alarm.wav
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал снят; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал достоверен; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Сигнал достоверен режим Имитации; Зеленый 
;МНА №4. Аварийное отключение кнопкой "Стоп" с БРУ. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Установлен режим "Маскирование"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Снят режим "Маскирование"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Снят режим "Имитация логического "0"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Снят режим "Имитация логической "1"; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал недостоверен; Красный nsp.wav
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал достоверен; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Обрыв. Сигнал снят; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал установлен; Красный param_alarm.wav
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал снят; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал достоверен; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Сигнал достоверен режим Имитации; Зеленый 
;МНА №4. Несанкционированное изменение состояния агрегатных задвижек работающего агрегата. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Установить режим "Маскирование"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Снять режим "Маскирование"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Установлен режим "Маскирование"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Снят режим "Маскирование"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Установлен режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Снят режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Установлен режим "Имитация логической "1"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Снят режим "Имитация логической "1"; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал недостоверен; Красный nsp.wav
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал достоверен; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Обрыв. Сигнал установлен; Красный nsp.wav
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Обрыв. Сигнал снят; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Короткое замыкание. Сигнал снят; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал установлен; Желтый param_limit.wav
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал снят; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал достоверен; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Сигнал достоверен режим Имитации; Зеленый 
;Маслосистема. Предельный минимальный уровень масла в аккумулирующем баке. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Установить режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Снять режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Установлен режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Снят режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Установлен режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Снят режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Установлен режим "Имитация логической "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Снят режим "Имитация логической "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал недостоверен; Красный nsp.wav
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал достоверен; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Обрыв. Сигнал установлен; Красный nsp.wav
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Обрыв. Сигнал снят; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Короткое замыкание. Сигнал снят; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал установлен; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал снят; Желтый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал достоверен; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Сигнал достоверен режим Имитации; Зеленый 
;Маслосистема. Предельный максимальный уровень масла в аккумулирующем баке. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Установить режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Снять режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Установлен режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Снят режим "Маскирование"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Установлен режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Снят режим "Имитация логического "0"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Установлен режим "Имитация логической "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Снят режим "Имитация логической "1"; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал недостоверен; Красный nsp.wav
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал достоверен; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Обрыв. Сигнал установлен; Красный nsp.wav
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Обрыв. Сигнал снят; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Короткое замыкание. Сигнал снят; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал установлен; Желтый param_limit.wav
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал снят; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал достоверен; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Сигнал достоверен режим Имитации; Зеленый 
;Маслосистема. Предельный максимальный уровень затопления маслоприямка. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Маслосистема. Пожар. Принята команда "Установить режим "Маскирование"; Зеленый 
;Маслосистема. Пожар. Принята команда "Снять режим "Маскирование"; Зеленый 
;Маслосистема. Пожар. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Маслосистема. Пожар. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Маслосистема. Пожар. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Маслосистема. Пожар. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Маслосистема. Пожар. Установлен режим "Маскирование"; Зеленый 
;Маслосистема. Пожар. Снят режим "Маскирование"; Зеленый 
;Маслосистема. Пожар. Установлен режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар. Снят режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар. Установлен режим "Имитация логической "1"; Зеленый 
;Маслосистема. Пожар. Снят режим "Имитация логической "1"; Зеленый 
;Маслосистема. Пожар. Сигнал недостоверен; Красный nsp.wav
;Маслосистема. Пожар. Сигнал достоверен; Зеленый 
;Маслосистема. Пожар. Обрыв. Сигнал установлен; Красный nsp.wav
;Маслосистема. Пожар. Обрыв. Сигнал снят; Зеленый 
;Маслосистема. Пожар. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Маслосистема. Пожар. Короткое замыкание. Сигнал снят; Зеленый 
;Маслосистема. Пожар. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Маслосистема. Пожар. Сигнал установлен; Красный param_alarm.wav
;Маслосистема. Пожар. Сигнал снят; Зеленый 
;Маслосистема. Пожар. Сигнал достоверен; Зеленый 
;Маслосистема. Пожар. Сигнал достоверен режим Имитации; Зеленый 
;Маслосистема. Пожар. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Маслосистема. Пожар (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;Маслосистема. Пожар (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;Маслосистема. Пожар (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Маслосистема. Пожар (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Маслосистема. Пожар (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Маслосистема. Пожар (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Маслосистема. Пожар (интерфейс). Установлен режим "Маскирование"; Зеленый 
;Маслосистема. Пожар (интерфейс). Снят режим "Маскирование"; Зеленый 
;Маслосистема. Пожар (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;Маслосистема. Пожар (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;Маслосистема. Пожар (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;Маслосистема. Пожар (интерфейс). Сигнал недостоверен; Красный nsp.wav
;Маслосистема. Пожар (интерфейс). Сигнал достоверен; Зеленый 
;Маслосистема. Пожар (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;Маслосистема. Пожар (интерфейс). Обрыв. Сигнал снят; Зеленый 
;Маслосистема. Пожар (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Маслосистема. Пожар (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;Маслосистема. Пожар (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Маслосистема. Пожар (интерфейс). Сигнал установлен; Красный param_alarm.wav
;Маслосистема. Пожар (интерфейс). Сигнал снят; Зеленый 
;Маслосистема. Пожар (интерфейс). Сигнал достоверен; Зеленый 
;Маслосистема. Пожар (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;Маслосистема. Пожар (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Насосный зал. Пожар. Принята команда "Установить режим "Маскирование"; Зеленый 
;Насосный зал. Пожар. Принята команда "Снять режим "Маскирование"; Зеленый 
;Насосный зал. Пожар. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Насосный зал. Пожар. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Насосный зал. Пожар. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Насосный зал. Пожар. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Насосный зал. Пожар. Установлен режим "Маскирование"; Зеленый 
;Насосный зал. Пожар. Снят режим "Маскирование"; Зеленый 
;Насосный зал. Пожар. Установлен режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар. Снят режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар. Установлен режим "Имитация логической "1"; Зеленый 
;Насосный зал. Пожар. Снят режим "Имитация логической "1"; Зеленый 
;Насосный зал. Пожар. Сигнал недостоверен; Красный nsp.wav
;Насосный зал. Пожар. Сигнал достоверен; Зеленый 
;Насосный зал. Пожар. Обрыв. Сигнал установлен; Красный nsp.wav
;Насосный зал. Пожар. Обрыв. Сигнал снят; Зеленый 
;Насосный зал. Пожар. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Насосный зал. Пожар. Короткое замыкание. Сигнал снят; Зеленый 
;Насосный зал. Пожар. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Насосный зал. Пожар. Сигнал установлен; Красный param_alarm.wav
;Насосный зал. Пожар. Сигнал снят; Зеленый 
;Насосный зал. Пожар. Сигнал достоверен; Зеленый 
;Насосный зал. Пожар. Сигнал достоверен режим Имитации; Зеленый 
;Насосный зал. Пожар. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Насосный зал. Пожар (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;Насосный зал. Пожар (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;Насосный зал. Пожар (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Насосный зал. Пожар (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Насосный зал. Пожар (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Насосный зал. Пожар (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Насосный зал. Пожар (интерфейс). Установлен режим "Маскирование"; Зеленый 
;Насосный зал. Пожар (интерфейс). Снят режим "Маскирование"; Зеленый 
;Насосный зал. Пожар (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;Насосный зал. Пожар (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
